venue	year	award	title	url	source_url
ACM CCS	2025	Distinguished Paper Award	Harnessing Sparsification in Federated Learning: A Secure, Efficient, and Differentially Private Realization	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Harnessing Vital Sign Vibration Harmonics for Effortless and Inbuilt XR User Authentication	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	The Odyssey of robots.txt Governance: Measuring Convention Implications of Web Bots in Large Language Model Services	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Layered, Overlapping, and Inconsistent: A Large-Scale Analysis of the Multiple Privacy Policies and Controls of U.S. Banks	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Adversarial Observations in Weather Forecasting	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	On the Security of SSH Client Signatures	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	A Decade-long Landscape of Advanced Persistent Threats: Longitudinal Analysis and Global Trends	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	BadAML: Exploiting Legacy Firmware Interfaces to Compromise Confidential Virtual Machines	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Looping for Good: Cyclic Proofs for Security Protocols	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Exact Robustness Certification of k-Nearest Neighbors	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Sliced PIR: Offloading Heavyweight Work with NTT	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Automatically Detecting Online Deceptive Patterns	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Don’t Look Up: There Are Sensitive Internal Links in the Clear on GEO Satellites	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	WireTap: Breaking Server SGX via DRAM Bus Interposition	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	Optimistic, Signature-Free Reliable Broadcast and Its Applications	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	CITesting: Systematic Testing of Context Integrity Violations in Cellular Core Networks	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	From OT to OLE with Subquadratic Communication	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
ACM CCS	2025	Distinguished Paper Award	The OCH Authenticated Encryption Scheme	https://www.sigsac.org/ccs/CCS2025/awards/	https://www.sigsac.org/ccs/CCS2025/awards/
